Distribution, Votes,Rank,Title
125,1305949,9.2, The Shawshank Redemption (1994)
125,901736,9.2, The Godfather (1972)
124,599810,9, The Godfather: Part II (1974)
124,1270531,8.9, The Dark Knight (2008)
124,1007047,8.9, Pulp Fiction (1994)
124,392671,8.9, Il buono il brutto il cattivo. (1966)
133,660370,8.9, Schindler's List (1993)
133,327984,8.9, 12 Angry Men (1957)
124,929716,8.9, The Lord of the Rings: The Return of the King (2003)
123,1002157,8.8, Fight Club (1999)
124,955850,8.8, The Lord of the Rings: The Fellowship of the Ring (2001)
123,614277,8.8, Star Wars: Episode V - The Empire Strikes Back (1980)
123,1058577,8.7, Inception (2010)
123,902582,8.7, Forrest Gump (1994)
233,537284,8.7, One Flew Over the Cuckoo's Nest (1975)
123,837141,8.7, The Lord of the Rings: The Two Towers (2002)
233,565722,8.7, Goodfellas (1990)
223,926908,8.7, The Matrix (1999)
123,684125,8.7, Star Wars (1977)
123,186498,8.7, Shichinin no samurai (1954)
233,423467,8.7, Cidade de Deus (2002)
1232,766945,8.6, Se7en (1995)
232,574636,8.6, The Usual Suspects (1995)
1232,652690,8.6, The Silence of the Lambs (1991)
123,213317,8.6, It's a Wonderful Life (1946)
223,171491,8.6, C'era una volta il West (1968)
232,552556,8.6, Lon (1994)
123,300722,8.6, La vita bella (1997)
1223,318152,8.6, Casablanca (1942)
1222,515235,8.6, Raiders of the Lost Ark (1981)
232,606794,8.5, American History X (1998)
1222,326657,8.5, Psycho (1960)
1232,662289,8.5, Saving Private Ryan (1998)
1222,249436,8.5, Rear Window (1954)
223,79024,8.5, City Lights (1931)
223,307250,8.5, Sen to Chihiro no kamikakushi (2001)
233,340685,8.5, Intouchables (2011)
222,103620,8.5, Modern Times (1936)
1222,574174,8.5, Terminator 2: Judgment Day (1991)
1232,659708,8.5, Memento (2000)
232,368642,8.5, The Pianist (2002)
1232,561695,8.5, The Green Mile (1999)
1222,110697,8.5, Sunset Blvd. (1950)
1222,360956,8.5, Apocalypse Now (1979)
1223,281665,8.5, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
1232,660615,8.5, The Departed (2006)
1222,736056,8.5, Gladiator (2000)
1222,532479,8.5, Back to the Future (1985)
1222,431522,8.5, Alien (1979)
1232,620243,8.4, The Prestige (2006)
123,849969,8.4, The Dark Knight Rises (2012)
1232,204021,8.4, Das Leben der Anderen (2006)
1222,99810,8.4, The Great Dictator (1940)
1232,661587,8.4, Django Unchained (2012)
1223,460126,8.4, The Lion King (1994)
1222,461907,8.4, The Shining (1980)
223,114952,8.4, Nuovo Cinema Paradiso (1988)
1223,49179,8.4, Boyhood (2014/I)
1222,93239,8.4, Paths of Glory (1957)
1222,653380,8.4, American Beauty (1999)
1222,528231,8.4, WALLE (2008)
1222,179282,8.4, North by Northwest (1959)
1222,386914,8.4, Aliens (1986)
1123,244279,8.4, Citizen Kane (1941)
1223,416107,8.4, Le fabuleux destin d'Amlie Poulain (2001)
1223,235054,8.4, Guardians of the Galaxy (2014)
1222,192938,8.4, Vertigo (1958)
1222,398360,8.4, Toy Story 3 (2010)
1222,79504,8.4, M (1931)
1222,136779,8.4, Das Boot (1981)
1222,272096,8.4, Oldeuboi (2003)
1222,167216,8.4, Mononoke-hime (1997)
1222,487625,8.4, Star Wars: Episode VI - Return of the Jedi (1983)
1223,96909,8.4, Hotaru no haka (1988)
1222,425449,8.4, A Clockwork Orange (1971)
1222,387915,8.4, Taxi Driver (1976)
1222,173414,8.4, Once Upon a Time in America (1984)
